Date,Amount,Payee,TransactionType
2026-04-01,3000,Parents Monthly Allowance,Credit
2026-04-01,30,Cadbury Dairy Milk - College Canteen,Debit
2026-04-02,35,Pepsi Cold Drink - Campus Stall,Debit
2026-04-02,20,Chai Point Tea,Debit
2026-04-02,75,Hostel Canteen Lunch,Debit
2026-04-03,55,Auto Rickshaw Ride,Debit
2026-04-03,25,Lays Chips - Convenience Store,Debit
2026-04-04,18,College Print Shop - Assignment Print,Debit
2026-04-04,100,DMRC Metro Card Recharge,Debit
2026-04-05,28,Maggi - Hostel Night Canteen,Debit
2026-04-05,40,Frooti Mango Drink - Campus,Debit
2026-04-06,45,Classmate Notebook - Campus Store,Debit
2026-04-06,60,Hostel Canteen Breakfast,Debit
2026-04-07,149,Zomato - Butter Chicken Order,Debit
2026-04-07,22,City Bus Ticket,Debit
2026-04-08,40,KitKat and Eclairs Chocolate,Debit
2026-04-08,80,Cafe Coffee Day Campus Outlet,Debit
2026-04-09,85,Hostel Canteen Dinner,Debit
2026-04-09,249,Amazon - Lab Manual Book,Debit
2026-04-10,239,Jio Prepaid Recharge,Debit
2026-04-11,45,Fresh Juice Stall - Orange Juice,Debit
2026-04-11,49,Spotify Premium Split Friend,Debit
2026-04-12,185,BigBasket Grocery Essentials,Debit
2026-04-13,22,College Canteen Samosa Vada,Debit
2026-04-13,60,Kwality Walls Ice Cream,Debit
2026-04-14,179,Swiggy - Biryani Weekend Order,Debit
2026-04-15,75,Auto Ride Night Return,Debit
2026-04-16,68,Crossword Stationery Pens Highlighters,Debit
2026-04-17,30,Thums Up Cold Drink Canteen,Debit
2026-04-17,15,Bun Maska Tea Irani Cafe,Debit
2026-04-18,32,Campus Canteen Evening Snack,Debit
2026-04-19,120,BookMyShow Movie Ticket,Debit
2026-04-20,200,Hostel Canteen Monthly Meal Top Up,Debit
2026-04-22,175,Reliance Smart Grocery Shopping,Debit
2026-04-24,150,Amazon Kindle Study Book,Debit
2026-04-26,80,Campus Cafe Group Snacks,Debit
2026-04-28,120,Birthday Dinner Split Friends,Debit
